DEVICE AND PIN MEMORY	: cuda:0 True
NUM TEST CELLS:  15
LOSS KWARGS {'loss_type': 'am', 'exp_weight': 0.0, 'strainenergy_regularization': 0.0, 'exp_schedule': {'type': 'linear', 'width': 310, 'e_crit': 30}, 'reg_schedule': {'type': 'linear', 'width': 310, 'e_crit': 30}, 'loss_kwargs': {'max_force': 8.0}}
Epoch 0:	 Time: 216.29 	(per epoch: 216.29)
SAVING MODEL
Epoch 1:	 Time: 392.71 	(per epoch: 196.36)
Epoch 2:	 Time: 563.07 	(per epoch: 187.69)
Epoch 3:	 Time: 726.55 	(per epoch: 181.64)
Epoch 4:	 Time: 887.28 	(per epoch: 177.46)
Epoch 5:	 Time: 1059.95 	(per epoch: 176.66)
Epoch 6:	 Time: 1233.34 	(per epoch: 176.19)
Epoch 7:	 Time: 1406.64 	(per epoch: 175.83)
Epoch 8:	 Time: 1578.69 	(per epoch: 175.41)
Epoch 9:	 Time: 1750.57 	(per epoch: 175.06)
Epoch 10:	 Time: 1915.36 	(per epoch: 174.12)
Epoch 11:	 Time: 2074.02 	(per epoch: 172.84)
Epoch 12:	 Time: 2233.68 	(per epoch: 171.82)
Epoch 13:	 Time: 2398.85 	(per epoch: 171.35)
Epoch 14:	 Time: 2562.10 	(per epoch: 170.81)
Epoch 15:	 Time: 2730.55 	(per epoch: 170.66)
Epoch 16:	 Time: 2899.44 	(per epoch: 170.56)
Epoch 17:	 Time: 3083.51 	(per epoch: 171.31)
Epoch 18:	 Time: 3291.08 	(per epoch: 173.21)
Epoch 19:	 Time: 3569.12 	(per epoch: 178.46)
Epoch 20:	 Time: 3840.20 	(per epoch: 182.87)
SAVING MODEL
Epoch 21:	 Time: 4079.01 	(per epoch: 185.41)
Epoch 22:	 Time: 4264.39 	(per epoch: 185.41)
Epoch 23:	 Time: 4435.33 	(per epoch: 184.81)
Epoch 24:	 Time: 4607.80 	(per epoch: 184.31)
Epoch 25:	 Time: 4769.05 	(per epoch: 183.42)
Epoch 26:	 Time: 4927.82 	(per epoch: 182.51)
Epoch 27:	 Time: 5086.87 	(per epoch: 181.67)
Epoch 28:	 Time: 5247.31 	(per epoch: 180.94)
Epoch 29:	 Time: 5407.15 	(per epoch: 180.24)
Epoch 30:	 Time: 5566.94 	(per epoch: 179.58)
Epoch 31:	 Time: 5725.49 	(per epoch: 178.92)
Epoch 32:	 Time: 5885.95 	(per epoch: 178.36)
Epoch 33:	 Time: 6080.28 	(per epoch: 178.83)
Epoch 34:	 Time: 6300.81 	(per epoch: 180.02)
Epoch 35:	 Time: 6511.25 	(per epoch: 180.87)
Epoch 36:	 Time: 6701.62 	(per epoch: 181.12)
Epoch 37:	 Time: 6931.66 	(per epoch: 182.41)
Epoch 38:	 Time: 7142.84 	(per epoch: 183.15)
Epoch 39:	 Time: 7337.84 	(per epoch: 183.45)
Epoch 40:	 Time: 7511.60 	(per epoch: 183.21)
SAVING MODEL
Epoch 41:	 Time: 7722.32 	(per epoch: 183.86)
Epoch 42:	 Time: 7931.50 	(per epoch: 184.45)
Epoch 43:	 Time: 8154.97 	(per epoch: 185.34)
Epoch 44:	 Time: 8402.55 	(per epoch: 186.72)
Epoch 45:	 Time: 8636.75 	(per epoch: 187.76)
Epoch 46:	 Time: 8867.04 	(per epoch: 188.66)
Epoch 47:	 Time: 9086.55 	(per epoch: 189.30)
